,name,h2o_henry,h2s_henry,xe_henry,kr_henry,o2_5bar,o2_140bar,co2_0.001bar,co2_30bar,n2_0.001bar,n2_30bar,h2_77K_5bar,h2_77K_100bar,h2_298K_5bar,h2_298K_100bar,ch4_65bar,ch4_5.8bar
0,20610N2,-0.7522086760683363,-1.0216005637168208,-0.9960730175641959,-0.6892776063978648,-0.14433092628522953,0.33308732127798146,-0.4086892564083006,0.5931831215325141,0.3143554015085904,0.26810398084614295,0.2562589356646768,0.5527463489278474,0.4425957335045811,0.40691097005747606,0.8303899642717532,-0.4896583661455463
1,21052N2,0.41149525200200543,1.2555120476797077,0.33883301888169054,0.5637327214957343,0.9348621178831101,0.4698725806282795,0.9870195715887222,1.0883778190460136,0.4624880960320142,0.8014642853585825,1.1986925281016438,0.7486836856640636,0.531890350456468,0.4218781840142531,1.1086131747769525,0.45780245998289126
2,20473N2,0.2033401111447909,-1.0871833200419276,-1.0696164225992273,-0.6329103010230697,0.3329361089316676,1.1644042724902655,-0.37933898036483615,0.6261997477950337,0.27911609372754903,1.0835704464901896,0.2480509828398697,1.7832404334234695,1.6894460299117402,1.7923812644028523,1.6459563225661946,-0.32854910456443354
3,15161N2,-0.3211722518524577,-0.6497849460889508,-0.53830641174307,-0.5157457652219779,-0.5655036590751048,-0.21539855984903697,-0.38920496195344273,-0.3985444675316777,-0.9352607611503205,-0.6062378002392734,0.28924331584525703,-0.08858697939613609,-0.26877671490612565,-0.3116795944192695,-0.1169263677248143,-0.5166283729786787
4,17061N2,-0.28185814730072895,0.9306853402359311,1.2379495999084635,1.0634892845014279,0.3165308996189348,-0.7633857073054843,-0.20547999062386504,-0.9927673448842148,-0.6173385288275564,-0.8196653294989841,-0.4460191488061503,-1.0074254814445043,-0.7700090362060166,-0.8876079796515872,-1.198400984052222,0.6565040983711836
5,11031N2,0.05857973551185024,3.2069688616869674,-0.4355239892861316,2.4167829010484563,2.8898280925359154,1.5822739560089574,16.443833523474094,1.3456954634376719,3.4736356736532135,2.182668740669943,2.8592148034330944,1.9139274978809244,1.8623997364127949,1.6766929200237741,2.9056297731939202,2.108220703657497
6,15071N2,-0.37580092661277004,-0.43067014887005406,-0.33931180112588716,-0.2520383449465892,-0.08650613003377802,0.08626179412742832,-0.3819185012325039,-0.19197355923084106,-0.9053277310936462,-0.2158102386219233,-0.11944304747714267,0.23923410039107962,0.15354461941722788,0.12458560296662106,0.36741588622527865,-0.326287748286298
7,14040N2,2.959663667615698,-0.33634005142981926,-0.9378404433068489,-0.8402518679954248,-0.5327614445137319,0.039079032690502905,-0.10291552609059987,-0.3485586041559848,-0.8252949068090986,-0.3676067690586857,-0.3745429716286038,0.2428587011223205,0.14037453995409907,0.13814470316838584,0.19615221118453352,-0.8869073751712262
8,15110N2,-0.8038054224884023,-1.2031916941293777,-1.2131690416430505,-0.954140379850074,-0.5467025066659849,0.012363046708531627,-0.45204474451479315,-0.297787017353838,-0.7250423796480894,-0.46188156978517997,-0.0017385354061477862,0.11264776991438895,0.015153564851768863,-0.004775095143464607,0.26187040700012937,-0.808344011562384
9,18133N3,-0.41065690007501693,0.5747657306567032,0.7037779026790795,0.9795845458780004,1.3584891331010722,0.05418393208709602,0.04252889862389903,0.005932017883472845,0.3299223631505783,0.3167460912511357,1.5550640397821942,-0.013526649681784332,-0.00969575370132954,-0.15365711059027842,0.3920365912381027,2.2184703412099593
10,20410N2,-0.3245532968681097,1.1444889539766885,1.4113157704141288,1.2026100161738955,0.9993890022555452,0.0540745281517633,0.38905532020858674,0.30018774659733816,0.5764066625718817,0.47290029260622973,0.36606717560015034,0.04314434621013619,0.11972613041722924,0.01322856292868743,0.34196225160021637,1.0973266516180273
11,13071N2,2.1984856481977273,-0.3647734663130413,-0.5042840481931242,-0.47589108210968195,-0.6476128209246961,-0.2766797353919616,-0.4086791672425571,-0.3478922968806055,-0.7595249707289365,-0.6172722228192286,-0.35810641695262696,-0.33388595255519066,-0.3666094119674541,-0.4037836080271051,-0.08674613484909771,-0.41619812968887043
12,20472N2,0.5013268947985039,-0.750894263571045,-0.9854607186855487,-0.7349938243669072,-0.20982943339169993,0.3839553446765588,-0.34616296547702746,0.49688386237424875,-0.19617279830491907,0.3219981992230808,0.02017120276323845,0.6864561265842107,0.5744297466119882,0.5377562790731837,0.7267797167839495,-0.612092317937267
13,12030N2,0.6957230724571899,0.35145365533808937,0.22101044469840064,0.16842842408499395,-0.12104227696620673,-0.40630348205335376,-0.2612054089421337,-0.47886192674088796,-0.24105615235049563,-0.6096964791198602,-0.6416109386874832,-0.5331828801980419,-0.4308980006888374,-0.4998288912268158,-0.4880292527578029,-0.1292402314595246
14,17140N2,-0.533199976768259,-0.12723009016534886,0.021190227398241536,0.06092597779519024,0.019443308687100588,-0.04982618296243976,-0.35377126194269753,-0.1586812397918511,-0.4800226720437647,-0.27861534750064415,0.13376738111736006,-0.006798642557329294,-0.06201267249442792,-0.12938144110530442,0.30015349346231884,0.17964965231944022
15,20250N2,-0.37789814362349206,-0.748274042302684,-0.8048870819274037,-0.48091247154818506,0.2367935676629059,0.6966020379105484,-0.4062733038634736,0.6782643186374621,0.09606924878714444,0.6697924060881969,0.46690976279778595,1.1015657077598737,0.8837207733782428,0.9293495730751524,1.317959958865565,-0.2839341896197818
16,14071N2,-0.5518012205014058,-0.17094118969885683,-0.06727872256264368,-0.046898213172008256,-0.026872209077228905,-0.01771377437899044,-0.3254709690929685,-0.18529943323993503,-0.29514873472540243,-0.3108022932624734,0.05267505880254615,0.015948696462973276,-0.017194358662139513,-0.08601109510817342,0.32491161657710205,-0.0760923459003559
17,13011N2,-0.9138136005821988,-1.1392101671856576,-1.1199073227273098,-1.0571428213834015,-0.9560356205926566,-0.18669501611549116,-0.5098874877575543,-0.65851808353458,-0.8541482706933684,-0.7037754742028637,-0.7916809231426376,-0.1418314186973439,-0.1064006584443543,-0.13454829701099844,-0.19914008197620758,-1.0932609310044248
18,11020N2,-0.7803519955704498,-0.27543303109492545,-0.14855060403973946,-0.04660740417779576,-0.11982332124845663,-0.24469447253647456,-0.3793341634046298,-0.33070849466301666,-0.5711441826555674,-0.4521681911643687,0.08558187279179454,-0.320001148699931,-0.33947948497764485,-0.4135548411537289,-0.016377033028715994,0.3618643003204243
19,19144N2,2.3872829116716257,0.8937000359421571,-0.25909121546160074,-0.630258006534318,-1.6037835077502571,-0.8608515330890099,-0.0837259422049833,-0.9243253112461899,-1.1253710300487991,-1.2191607988833333,-1.5263394781152626,-1.096414399244466,-0.9553905703903715,-0.9946698873649378,-1.3108860636016997,-1.1036078066075385
